New Code	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
E05000131	88500	97500	128000	143750	150000	190000	202500	243000	240000	250000	310000	297750	330050	333750	390000	415000	413250	435000	450000	560000
E05000132	117250	120000	135000	142000	170000	197750	225000	260000	249950	285000	305000	352000	399950	415000	394950	425000	455000	477500	538000	575000
E05000133	175000	190000	215000	250000	268475	377500	385000	377000	465000	497500	487500	500000	582500	630000	652500	735000	795000	1030000	900000	955000
E05000134	128800	140000	130000	168000	179500	224500	237500	263000	255000	280000	251000	340000	400000	382000	372500	372500	415000	517000	526500	599999
E05000135	152000	196000	237500	245000	292000	358000	430500	465000	425000	500000	513000	575000	710500	835000	710000	745000	824900	835000	1012500	1190000
E05000136	107975	120250	109950	128000	169950	225000	240000	259950	249950	249950	289975	299975	327475	323700	301500	390000	375750	436000	437500	547305
E05000137	132250	149000	170000	182498	220000	227000	270000	299000	249950	280000	348500	355000	420000	558600	510000	492475	487500	520600	558000	650000
E05000138	134000	143350	170000	180000	217500	248500	290000	299500	250000	273500	355000	360250	425000	490000	425000	480000	535000	625000	630000	685000
E05000139	103000	118000	123500	157750	189000	208000	215000	228000	250000	257500	272500	295000	362500	307000	355000	365000	420000	418750	560000	630100
E05000140	85250	142100	114225	127000	151000	189096	195000	210000	237500	250000	254500	263500	340000	315000	290000	347500	381000	412500	427500	468000
E05000141	80250	75500	101000	105000	124500	174600	182000	205000	220000	249475	235000	285000	325000	325000	320000	340000	337500	380000	312125	625000
E05000142	99500	136000	136000	166500	161000	200000	259120	244000	255000	262000	276250	295000	325000	327500	408885	365000	375000	375000	547500	600000
E05000143	73000	72250	82500	95000	125000	142500	162000	183000	190000	207000	227750	240000	296250	280000	395000	340000	365000	339950	500000	465000
E05000144	134000	132000	161175	175000	199000	235000	257475	315000	320000	320000	400000	429250	462000	506225	480000	625000	570000	590000	625000	740500
E05000145	93800	102000	125000	135500	165000	215500	239000	250000	250000	329000	290500	328750	381550	374500	390000	450000	428975	495000	507500	622500
E09000001	106500	125000	135000	167500	180000	200000	237000	250000	284000	280000	310000	341000	412500	365000	410000	450000	465000	485000	615000	765000
E05000146	64998	64975	73000	77125	85500	99000	116000	150000	172500	182000	185000	195000	220000	225000	199000	210000	210000	215000	225000	250000
E05000147	81500	84500	92000	113800	124500	147000	165475	190000	225000	227500	245000	250000	264750	250000	241000	270000	272500	272500	295000	347000
E05000148	63000	64000	70750	85000	89950	112200	126000	153000	168000	184000	190000	197250	216000	225000	191250	200000	191630	210000	220000	246250
E05000149	59000	58500	65750	70000	79950	91500	112000	141475	156000	170000	175000	179000	205000	204000	174000	190000	180818	182000	210000	231000
E05000150	93000	99500	113950	132500	143000	170000	187500	214975	246750	273000	245000	274250	295000	302425	285000	291000	295000	320000	325000	375000
E05000151	95000	115000	119500	140500	137950	185000	186750	220000	240000	250000	249950	280000	331000	323750	270000	322000	305000	341500	340000	361000
E05000152	67750	68995	72725	76850	85000	105000	117750	145000	166000	178000	185000	192000	212500	220000	193750	205000	215000	210000	230000	250000
E05000153	78125	69950	77475	77750	83000	105000	117000	145000	152000	177000	178500	185725	200000	216000	185000	210000	207500	205000	196463	236000
E05000154	57500	56950	57748	67500	75000	83000	98000	115000	137500	150000	165000	165000	182750	181000	165000	160000	162000	170040	187000	220000
E05000155	75000	75625	82400	93000	96000	119000	130500	155500	178000	185000	189950	204250	220500	217500	200000	215000	197000	227000	220000	260000
E05000156	90750	90500	109950	119000	129000	145000	150500	178000	219975	235500	237000	248863	279975	250000	248975	280000	274750	279000	295500	340000
E05000157	59500	59725	66900	75000	83000	100500	109950	135000	161000	170000	179500	181000	198000	200000	180000	200750	186500	185000	200000	245000
E05000158	77000	84500	91000	108000	120000	150000	161000	190000	210000	215000	244000	240000	265000	249950	250000	262500	242500	269000	310000	350000
E05000159	105500	107500	118750	111475	132000	150000	165000	200000	219000	235000	238000	250000	250000	283750	247475	260000	272000	292000	302500	320000
E05000160	116000	110000	120000	139225	158475	178000	210000	238225	265000	273000	287250	290000	339000	348000	275000	325000	310000	338000	360000	392500
E05000161	59999	59950	67000	74950	75000	82150	92000	119000	149000	153000	160000	172000	193000	180000	138000	174950	165000	175000	188748	212998
E05000162	95250	97000	112500	126475	139000	169225	179500	226250	245500	249950	263000	279975	290000	309950	250000	282725	287500	301250	323750	344000
E05000163	91500	97500	96000	113500	134000	130000	139500	210000	227250	229975	245000	245000	296000	286500	249975	280000	270000	277500	305000	320000
E05000164	75000	74950	78500	74000	70000	79900	90750	115000	139950	144750	158375	161000	180000	179000	174975	200750	180000	186950	211500	240000
E05000165	64000	65000	69500	75000	83500	95000	117000	136000	159475	176750	175500	185000	198500	200000	189500	185000	195000	195000	215000	250000
E05000166	80000	81500	84975	84750	96500	98250	122500	153975	170000	175000	195000	211250	233500	250000	220000	233500	245000	250000	282500	289750
E05000167	62750	71500	72500	78500	81725	114000	115500	145000	165999	175000	189000	190500	207000	197250	185000	197750	198000	200000	207091	243250
E05000168	63000	64000	69950	80550	86950	105000	114000	139950	166000	178200	181500	190000	201100	220000	183000	180000	195000	189000	217000	235000
E05000169	60000	60000	69500	76000	81000	93000	115000	133250	158000	170500	175000	185000	205000	203500	175000	185000	191000	190000	220000	250000
E05000170	88000	107000	99000	119725	155000	180000	188250	226000	232750	248950	247000	287500	299975	330000	310000	326250	331500	379000	420000	570000
E05000171	110750	110000	115000	138000	157500	165000	220000	217000	240000	260000	256000	325000	312500	331000	365000	354000	361500	382500	461750	500000
E05000172	68250	73500	75125	85000	83750	105000	124500	160000	179000	193000	194500	173725	234500	240000	238500	247000	241000	240000	250000	265000
E05000173	106250	110000	120000	142000	160000	200000	211000	245500	234000	250000	250000	290000	316000	325000	333000	325000	339000	330000	442000	459970
E05000174	93250	102500	125000	133000	158000	186788	217750	249250	249950	268000	279975	302500	349475	330000	330000	319000	342000	380000	450000	536000
E05000175	72900	80000	85000	100000	120000	140500	165000	193000	198125	213500	226000	249995	280000	320000	265000	270000	278000	320650	296250	390500
E05000176	81500	88000	95000	105000	127000	150000	175000	185000	210000	237500	245000	245000	273500	291500	250000	280000	336500	326000	330000	408750
E05000177	66000	73000	78000	75154	83400	93000	119000	145000	155000	182000	194776	212500	205250	206954	173333	193000	207500	215000	229475	249000
E05000178	74500	75750	83000	93000	103000	124475	143000	169000	200500	220000	230000	235000	249950	250000	240000	250000	250000	260500	283750	307000
E05000179	108750	112000	122500	144000	155000	196250	229950	248500	265000	265000	317500	291500	350000	382000	315000	340000	370000	380000	420000	519000
E05000180	76000	83000	85500	97500	120000	136500	149950	180000	201750	220000	221000	240000	271000	269975	249975	279500	285000	292250	325000	386250
E05000181	66000	70000	75000	86000	99975	121750	135000	164000	196000	225000	220000	225000	248000	250000	228000	240000	250000	250000	253500	285000
E05000182	103000	108000	124975	149350	167500	205000	214500	250000	280500	295000	288725	332500	392500	386250	405000	395000	450000	450000	568000	615000
E05000183	75750	77000	90000	102000	115000	136000	150000	180000	223000	235000	243500	242500	269950	260000	240000	250000	270000	285000	305000	345000
