E05000200	11800	12027	12800	13106	13207	13324	13399	13550	13850	14050
E05000201	14700	14741	16350	16454	16481	16506	16509	16550	16600	16650
E05000202	12500	12393	13050	13367	13455	13549	13579	13650	14250	14700
E05000203	13300	13482	14450	14561	14584	14624	14645	14700	14900	15100
E05000204	12900	14823	16600	16658	16677	16699	16704	16750	16800	16850
E05000205	13450	13808	15250	15520	15595	15664	15708	15800	15950	16050
E05000206	13200	14057	15750	16424	16739	17036	17194	17500	18250	18700
E05000207	12700	13198	14600	14793	14859	14935	14960	15000	15200	15400
E05000208	12350	13283	14550	14730	14764	14800	14844	14900	15100	15200
E05000209	13100	13142	13850	14179	14279	14379	14842	15750	17150	17550
E05000210	14150	14129	15000	15119	15131	15149	15166	15200	15350	15450
E05000211	12950	13209	14450	14623	14667	14702	14725	14750	14850	14900
E05000212	15150	16025	17450	18038	18321	18578	19055	20000	23850	27500
E05000213	12450	12643	13500	13623	13654	13688	13739	13850	14000	14150
E05000214	13550	14455	15750	15954	16073	16175	16200	16250	16650	17100
E05000215	12200	12209	12950	13103	13191	13275	13283	13300	13350	13250
E05000216	12750	13057	14450	14502	14567	14627	14637	14650	14700	14600
E05000217	12600	12539	13100	13304	13368	13440	13483	13550	13650	13650
E05000218	12450	12262	12550	12736	12823	12891	13026	13300	14250	14700
E05000219	11750	11827	12600	12881	12992	13089	13159	13250	13400	14100
E05000220	13600	13075	10450	11467	11979	12483	13014	14100	16750	17900
E05000221	14100	15592	18250	18348	18416	18499	18535	18600	18700	18650
E05000222	11450	14553	16600	17548	17993	18446	18861	19700	20750	20850
E05000223	12250	13133	14350	14517	14601	14655	14676	14750	14750	14700
E05000224	13000	12861	13550	13733	13826	13907	14010	14250	14650	14850
E05000225	10350	12318	14100	19342	21925	24499	27139	32350	41500	46450
E05000226	14300	14971	16800	16905	16985	17061	17119	17250	17400	17350
E05000227	13000	12915	13500	13596	13661	13731	13776	13850	14000	14100
E05000228	11950	16350	19800	20948	21586	22224	22240	22350	24200	26800
E05000229	15150	16045	17550	18530	19042	19551	20340	21900	23650	23650
E05000230	12950	15828	19200	21116	22073	23025	23916	25700	32750	39250
E05009367	8400	7700	8000	8800	9200	9600	9700	10000	10700	11400
E05009368	11700	13500	14400	14600	14700	14800	14900	15200	15800	16000
E05009369	11700	12700	13200	13400	13500	13600	13600	13800	14200	14400
E05009370	5900	6700	8200	8600	8700	8800	8900	9100	9700	10200
E05009371	6500	7200	8800	9300	9500	9800	9800	10000	10700	10900
E05009372	10400	11300	12500	12800	13000	13100	13200	13400	14000	14500
E05009373	10600	11600	13000	13200	13300	13400	13600	14000	14600	14800
E05009374	11300	10400	11900	12200	12300	12400	12900	13900	16200	17400
E05009375	9400	10600	12400	13000	13200	13400	13600	14100	15600	16600
E05009376	10100	10800	12100	12500	12600	12700	12800	13000	14100	14800
E05009377	8700	9700	11700	12400	12600	12800	13000	13400	14500	15200
E05009378	9200	9900	12800	13300	13500	13600	13900	14300	14700	14700
E05009379	12400	11900	12600	12900	13000	13200	13400	13800	14800	15700
E05009380	10000	11200	13900	14100	14200	14400	14500	14900	15500	15800
E05009381	9300	10500	12400	12800	12900	13100	13200	13500	14000	14200
E05009382	6300	7000	8300	8600	8700	8800	8900	9000	9500	9900
E05009383	14200	15200	15900	16300	16500	16800	17000	17500	18400	19200
E05009384	8800	8700	9400	9600	9700	9900	10000	10300	10900	11400
E05009385	11900	12700	13900	14200	14300	14400	14500	14700	15200	15500
E05009386	11500	11500	12400	12600	12700	12800	12900	13100	13500	13900
E05009387	9700	9500	10000	10800	11200	11600	11800	12100	13000	14000
E05000250	11500	10979	11550	11569	11610	11645	11707	11850	12050	12150
E05000251	12200	12494	14200	14229	14257	14291	14315	14400	14500	14600
E05000252	11800	12215	12250	12524	12633	12710	12782	12900	13100	13500
E05000253	7800	8256	9200	9927	10316	10704	10904	11300	12550	13900
E05000254	10450	10703	11000	11270	11421	11548	12042	13000	13850	13850
E05000255	10500	10707	11300	11612	11724	11807	12159	12850	13500	13650
E05000256	11850	12525	11950	12111	12198	12270	12540	13050	14100	14900
E05000257	10150	10867	11000	11082	11122	11155	11190	11250	11350	11400
E05000258	11250	11616	11600	12145	12395	12638	12920	13450	14650	15750
E05000259	7500	7433	7500	7552	7573	7601	7672	7850	8150	8400
E05000260	10550	10616	10850	10839	10865	10870	10906	11000	11150	11250
E05000261	11050	10781	10800	10878	10935	10996	11042	11150	11550	12000
E05000262	9950	10305	12800	13162	13357	13541	13927	14700	16550	17500
