E05000188	7969	8033	8667	9039	9452	9714	10034
E05000189	8286	7645	8348	9133	11006	12954	15644
E05000190	8322	7909	9205	9350	9772	10339	11033
E05000191	8994	9502	9484	9461	9659	9764	9904
E05000192	8936	8962	9141	9159	9311	9584	9789
E05000193	8022	8373	9505	9706	9876	9910	9944
E05000194	5387	5312	5546	5594	5625	5665	5724
E05000195	753	749	818	824	865	915	954
E05000196	1220	1267	1330	1352	1436	1517	1561
E05000197	4926	4987	5773	5828	5885	5933	5997
E05000198	3106	3124	3472	3514	3548	3591	3645
E05000199	3982	4514	5089	5172	5273	5319	5365
E05000200	3592	3661	3896	3989	4125	4216	4277
E05000201	8185	8208	9103	9161	9215	9243	9270
E05000202	2457	2436	2565	2627	2683	2801	2889
E05000203	3386	3432	3678	3707	3742	3793	3844
E05000204	5911	6792	7606	7633	7675	7698	7721
E05000205	6925	7110	7852	7991	8135	8213	8264
E05000206	3726	3968	4445	4636	4939	5151	5278
E05000207	4430	4603	5092	5160	5232	5302	5371
E05000208	4596	4943	5414	5481	5545	5619	5656
E05000209	5012	5028	5299	5425	6026	6562	6715
E05000210	6341	6332	6722	6776	6812	6879	6924
E05000211	5726	5841	6390	6466	6522	6566	6589
E05000212	5733	6065	6604	6826	7569	9026	10407
E05000213	4510	4580	4890	4935	5017	5071	5126
E05000214	5099	5440	5927	6004	6115	6266	6435
E05000215	5706	5710	6057	6128	6220	6244	6197
E05000216	6277	6428	7114	7140	7212	7237	7188
E05000217	4942	4919	5139	5219	5315	5354	5354
E05000218	4873	4799	4912	4985	5205	5577	5753
E05000219	2540	2556	2723	2784	2864	2896	3048
E05000220	5607	5390	4308	4727	5813	6905	7379
E05000221	9110	10074	11791	11855	12017	12082	12050
E05000222	4529	5757	6566	6941	7793	8208	8248
E05000223	5159	5531	6043	6114	6212	6212	6191
E05000224	3950	3907	4117	4172	4329	4451	4512
E05000225	3027	3602	4124	5657	9461	12137	13584
E05000226	6106	6393	7174	7219	7366	7430	7409
E05000227	3448	3425	3580	3606	3673	3713	3739
E05000228	3049	4172	5052	5345	5703	6175	6839
E05000229	5782	6123	6698	7072	8358	9026	9026
E05000230	5103	6237	7565	8320	10126	12904	15465
E05009367	17410	15959	16581	18239	20726	22177	23628
E05009368	15778	18205	19419	19689	20498	21307	21577
E05009369	11576	12565	13060	13258	13653	14049	14247
E05009370	11028	12524	15328	16075	17010	18132	19066
E05009371	10953	12132	14828	15671	16850	18030	18367
E05009372	13362	14518	16060	16445	17216	17987	18629
E05009373	10408	11389	12764	12960	13746	14335	14531
E05009374	6916	6365	7283	7467	8507	9915	10650
E05009375	10839	12223	14298	14990	16258	17988	19141
E05009376	12545	13415	15030	15526	16147	17514	18383
E05009377	8500	9477	11431	12115	13092	14166	14850
E05009378	14197	15277	19752	20524	22067	22684	22684
E05009379	6473	6212	6577	6734	7204	7726	8195
E05009380	9437	10569	13117	13306	14060	14627	14910
E05009381	9141	10321	12188	12581	13269	13761	13957
E05009382	14576	16196	19204	19898	20823	21980	22906
E05009383	11707	12531	13108	13438	14427	15169	15829
E05009384	13139	12990	14035	14334	15379	16275	17022
E05009385	12372	13204	14452	14764	15284	15803	16115
E05009386	15114	15114	16297	16560	17217	17743	18269
E05009387	11013	10786	11353	12262	13738	14759	15895
E05000250	20728	19789	20818	20852	21359	21719	21899
E05000251	16000	16386	18623	18661	18885	19016	19148
E05000252	13161	13624	13663	13968	14388	14611	15057
E05000253	2270	2402	2677	2889	3288	3652	4045
E05000254	15644	16023	16468	16872	19462	20734	20734
E05000255	12763	13014	13735	14115	15619	16409	16592
E05000256	11305	11949	11401	11554	12450	13452	14215
E05000257	16259	17408	17621	17752	18021	18181	18261
E05000258	17712	18288	18263	19121	21175	23065	24797
E05000259	6593	6534	6593	6638	6900	7164	7384
E05000260	11776	11850	12111	12099	12279	12446	12558
E05000261	9591	9357	9374	9441	9677	10025	10415
E05000262	8712	9023	11207	11524	12871	14491	15323
E05000263	9876	10813	11421	11779	13153	14838	16195
E05000264	15661	16787	17197	17336	17580	18195	18502
E05000265	13586	14080	14862	15067	15361	15527	15638
E05000266	4132	4103	4553	4565	4629	4667	4763
E05000267	8115	8569	9955	10197	10352	10280	10388
E05000268	13186	14281	15535	15780	16283	16710	17244
E05000269	7741	7875	8678	8762	8956	8956	9060
E05000270	5827	5700	6304	6415	6581	6606	6731
E05000271	6960	8245	8524	8782	9291	9450	9514
E05000272	4269	4225	4690	4774	4970	5171	5451
E05000273	9868	10477	12098	12253	12762	12857	12999
E05000274	6200	6107	6563	6621	6956	7137	7228
E05000275	9628	10263	11423	11732	13952	16767	18113
E05000276	6859	7102	7680	7837	8448	8872	9322
E05000277	11885	12484	13439	14133	14856	15542	16136
E05000278	10466	10857	12397	12610	12938	12977	13208
E05000279	9783	9854	10834	11016	11154	11337	11566
E05000280	9046	9585	10775	11254	12246	13165	13864
E05000281	6852	7185	7924	8503	10042	10696	10984
E05000282	8720	9096	9613	9832	10221	10257	10399
E05000283	7240	7519	7947	8069	8270	8388	8623
E05000284	7915	8795	9752	10036	10921	11255	11488
E05000285	5459	5856	6443	6495	6584	6640	6725
E05000286	1822	1945	2239	2320	2497	2630	2728
E05000287	7162	7609	8374	8476	8908	9193	9300
E05000288	5473	6284	7192	7375	7823	8539	9227
E05000289	3051	3266	3471	3532	3639	3737	3821
E05000290	2288	2369	2495	2525	2582	2636	2713
E05000291	3142	3124	3294	3309	3370	3431	3508
E05000292	2943	2979	3094	3126	3352	3701	4080
E05000293	6541	6850	7665	7792	7972	8040	8142
E05000294	7856	8191	8794	8910	9029	9107	9224
E05000295	5922	6053	6376	6470	6602	6687	6801
E05000296	5709	6418	7500	7708	8290	8867	9110
E05000297	2975	3076	3082	3114	3173	3250	3311
E05000298	4135	4280	4476	4502	4562	4626	4711
E05000299	6352	6752	7468	7575	7715	7808	7901
E05000300	6700	6946	7322	7412	7583	7746	7844
E05000301	7405	7980	8600	8653	8766	8966	9165
E05000302	6826	7199	7461	7553	7683	7746	7842
E05000303	2130	2420	2534	2560	2669	2792	2870
E05000304	7651	8740	9616	9704	9950	10243	10410
E05000305	6536	6617	6899	7002	7097	7296	7461
E05000306	3105	3202	3581	3817	4438	5175	5556
E05000307	1869	1873	1922	1924	1930	1953	1968
E05000308	3301	3321	3410	3440	3479	3479	3479
E05000309	2466	2498	2596	2601	2606	2606	2606
E05000310	1811	1804	1901	1941	2075	2172	2204
E05000311	5090	5031	4989	5058	5111	5151	5192
E05000312	1588	1640	1673	1741	1897	2009	2055
E05000313	1267	1244	1334	1341	1354	1370	1380
E05000314	3455	3484	3689	3781	3923	3967	3952
E05000315	4279	4395	4486	4522	4573	4624	4642
E05000316	4141	4108	4273	4291	4322	4355	4355
E05000317	3249	3226	3287	3293	3287	3351	3401
E05000318	792	801	818	838	880	916	942
E05000319	4625	4956	5585	6047	6842	7784	8517
E05000320	4800	4856	5005	5056	5099	5286	5398
E05000321	2005	2094	2156	2388	3139	3630	3717
E05000322	4469	4645	4997	5037	5073	5073	5054
E05000323	564	567	572	575	583	603	623
E05000324	5618	5992	6397	6547	6727	6822	6893
E05000325	2888	2951	3473	3583	3759	3874	3931
E05000326	3281	3692	4242	4442	4501	4516	4593
E05000327	5668	5670	5842	5969	6040	6190	6289
E05000328	3900	4062	4270	4386	4455	4522	4572
E05000329	2855	2816	3015	3075	3113	3125	3150
E05000330	473	473	489	503	522	545	565
E05000331	442	470	523	545	578	608	633
E05000332	3349	3418	3613	3736	3821	3835	3863
E05000333	1612	1610	1684	1722	1741	1757	1781
E05000334	5597	5487	5851	5968	6028	6078	6104
E05000335	1440	1420	1426	1455	1480	1514	1554
E05000336	3290	3286	3500	3583	3620	3650	3665
E05000337	4566	4880	5421	5606	5749	5822	5876
E05000338	1483	1552	1678	1725	1773	1860	1934
E05000339	3373	3651	4059	4180	4288	4359	4416
E05000340	2553	2535	2618	2738	3329	3814	4008
E05000341	3725	4142	4511	4765	4848	4945	5121
E05000342	3366	3548	4154	4283	4383	4426	4469
E05000343	2359	2289	2439	2558	2678	2701	2735
E05000344	5213	5454	5902	6042	6160	6225	6268
E05000345	2797	2864	3257	3362	3468	3667	3841
E05000346	2315	2447	2866	2902	2934	2979	3046
E05000347	3491	3847	4586	4828	5459	6030	6379
E05000348	5181	5501	5598	5684	5746	5819	5966
E05000349	5821	5947	6028	6086	6106	6158	6210
E05000350	4108	4170	4548	4635	4695	4768	4970
E05000351	2881	3015	3427	3488	3590	3767	3944
E05000352	3709	3947	4920	4966	4998	5077	5156
E05000353	3480	3492	3790	3827	3851	3913	4022
E05000354	2895	2830	3127	3257	3373	3441	3619
E05000355	6677	6853	7330	7462	7835	8132	8250
E05000356	5366	5574	6022	6124	6338	6678	6872
E05000357	3018	3053	3267	3312	3358	3436	3541
E05000358	6402	7252	8795	9127	10122	11592	12630
E05000359	4098	4490	5320	5426	5680	6021	6219
E05000360	5921	6082	6396	6495	6536	6564	6648
E05000361	6542	6847	7839	8227	8579	8857	9104
E05000362	5594	5810	6128	6173	6229	6433	6712
E05000363	1696	1754	2087	2118	2166	2222	2278
E05000364	3656	4140	5015	5136	5492	5860	6080
E05000365	5906	6349	6499	6636	6781	6923	7149
E05000366	12709	13019	14757	15205	16022	16684	17226
E05000367	9514	10850	13532	14589	16949	18196	18704
E05000368	10430	10245	12279	12793	13511	14171	14787
E05000369	12512	13777	14990	15279	15671	16105	16601
E05000370	10722	11843	12331	12882	14046	14850	15440
E05000371	13915	14178	15716	16265	18117	19263	19754
E05000372	10465	10559	11606	11805	12350	13044	13640
E05000373	11085	11931	13949	14560	15427	15981	16489
E05000374	14126	13241	14308	14674	15217	15763	16309
E05000375	11351	12197	14870	15485	16208	16704	17200
E05000376	10754	10628	11727	12197	12993	13771	14404
E05000377	14030	14681	15663	16030	16812	17477	18021
E05000378	13478	13459	14719	15127	16020	16670	17143
E05000379	12438	12549	13359	13903	15202	16008	16469
E05000380	13818	13700	14620	15485	17026	17828	18260
E05000381	15024	14972	15731	16103	16673	17204	17734
E05009388	15454	16617	16783	17282	18445	20605	21602
